	G1-111	G1-112	G1-180	G1-182	G1-183	G1-184	G1-185	G1-186	G2-1103	G2-198	G2-21	G2-210	G2-211	G2-212	G2-22	G2-225	G2-226	G2-227	G2-228	G2-229	G2-23	G2-230	G2-24	G2-26	G2-27	G2-28	G2-29
G2-225	0.22756732311663042	0.1052864147319934	0.32425535585801335	0.6045102176564087	0.13276724027695636	0.08633548803643369	0.045320104217541644	0.17507177556740455	0.48758246943530925	0.4977362991616695	0.44989839873938975	0.293752919289141	0.6697941487411162	0.4262468408433243	0.4219783074351876	0.0	0.04087568300976089	0.05445418953186791	0.039107846363592394	0.08039012397734416	0.40967903209500456	0.26173843598858876	0.40967903209500456	0.34258515732844813	0.4656681050471259	0.4007894522943306	0.38808291459981287
G2-226	0.22789719223571356	0.10828399670661522	0.33956857176241473	0.6088158011022241	0.09875061248392844	0.08980920853503592	0.008040615367776564	0.14264460639659066	0.49398366660487564	0.5182666709844465	0.46280393136937964	0.30894686679196026	0.6723203824780642	0.43518684561452975	0.43390189638292687	0.04087568300976089	0.0	0.08093899372464275	0.0018397867434740514	0.08399373692263273	0.4220141443992517	0.2614475982029635	0.4220141443992517	0.35632636447197724	0.4729475639297036	0.4163642087901858	0.4027891887526285
G2-227	0.25315902785010097	0.14014203538258746	0.3474205709592157	0.6116797117542668	0.16541031138536963	0.12275714192658066	0.08524312408412447	0.12725483814956867	0.5018222617472261	0.5250866619220974	0.46990176816067347	0.3227607351638828	0.6711061941371114	0.4448875418455624	0.4447370989402839	0.05445418953186791	0.08093899372464275	0.0	0.07932528448073141	0.11708199187963199	0.4330388617036451	0.28492875575521026	0.4330388617036451	0.3677142073946633	0.4814500702501672	0.42462685238819836	0.4105581248376961
G2-228	0.22676328458733644	0.10677406207561485	0.3385489416866369	0.6084458372579045	0.09724160945708275	0.08823600419719947	0.00621225785394925	0.14127912275820334	0.4933074497594421	0.5173787508080643	0.46188083686353854	0.30767313300343285	0.6720696688596512	0.43432854459291786	0.43574168312640094	0.039107846363592394	0.0018397867434740514	0.07932528448073141	0.0	0.08241048092831613	0.42385393114272574	0.2604121190489578	0.42385393114272574	0.35806030561657204	0.4722069813196005	0.4152884642579713	0.40177905185673907
G2-229	0.15947289995546285	0.026563716080458946	0.3625193113347637	0.6172618562841625	0.1670020950922848	0.005945364059089538	0.08823600419719947	0.10248924514600719	0.5092790646342716	0.5381133403413826	0.48349701779464516	0.33741718881535576	0.6780687457921531	0.4545172576244093	0.45994091359193	0.08039012397734416	0.08399373692263273	0.11708199187963199	0.08241048092831613	0.0	0.4485629891843266	0.2848329444555361	0.4485629891843266	0.3840713362521705	0.4896717208459458	0.44040910225164903	0.42544777747714574
G2-23	0.537121125349349	0.4657929971552671	0.42416172595302404	0.6810649634248293	0.48217355807555523	0.45449788414585535	0.4300547597670283	0.5073935149537415	0.4655294422887163	0.18998567229588043	0.11429180619163236	0.1684919150168856	0.7536265499682067	0.37051969710834376	0.020567548268666996	0.40967903209500456	0.4220141443992517	0.4330388617036451	0.42385393114272574	0.4485629891843266	0.0	0.5590729128983996	0.0	0.22314669044532986	0.42618290182699065	0.015934924439765977	0.30997764390931865
G2-230	0.35547084494715636	0.2931103400082938	0.4667186754584546	0.4449005457310891	0.31007039608192566	0.2815500530264256	0.25690064735586104	0.33664381651637426	0.5858371382968462	0.6315891341086485	0.5819287175101535	0.4694221099602015	0.7069718122203374	0.5425458267528621	0.561368308519424	0.26173843598858876	0.2614475982029635	0.28492875575521026	0.2604121190489578	0.2848329444555361	0.5590729128983996	0.0	0.5590729128983996	0.5014035624804535	0.22835159860883597	0.5526419027363235	0.5330848793603004
G2-24	0.537121125349349	0.4657929971552671	0.42416172595302404	0.6810649634248293	0.48217355807555523	0.45449788414585535	0.4300547597670283	0.5073935149537415	0.4655294422887163	0.18998567229588043	0.11429180619163236	0.1684919150168856	0.7536265499682067	0.37051969710834376	0.020567548268666996	0.40967903209500456	0.4220141443992517	0.4330388617036451	0.42385393114272574	0.4485629891843266	0.0	0.5590729128983996	0.0	0.22314669044532986	0.42618290182699065	0.015934924439765977	0.30997764390931865
G2-26	0.43567220070626206	0.4016319594158009	0.46057398102929215	0.6334237081072654	0.41901578252795885	0.38967862318184293	0.36390439157946824	0.40023410478667726	0.40200641745516974	0.36893624533559277	0.29438407640163206	0.09657373168525092	0.7142799747258693	0.2382857217257925	0.23912465838726923	0.34258515732844813	0.35632636447197724	0.3677142073946633	0.35806030561657204	0.3840713362521705	0.22314669044532986	0.5014035624804535	0.22314669044532986	0.0	0.3605065186999538	0.23333726308604832	0.23523977579403402
G2-27	0.5420314515574461	0.5023691670177483	0.5931198102999298	0.44752356253846026	0.5142805972446353	0.4942509030250712	0.4769428748299786	0.5329464676519975	0.5099169800947249	0.5193332449258078	0.46391306106274616	0.31047687721657724	0.7395684935526595	0.4362185707890246	0.438022599632449	0.4656681050471259	0.4729475639297036	0.4814500702501672	0.4722069813196005	0.4896717208459458	0.42618290182699065	0.22835159860883597	0.42618290182699065	0.3605065186999538	0.0	0.41765639824160344	0.4040029787509082
G2-28	0.530336615934027	0.45783799859954394	0.42136211233748705	0.6821008723402842	0.474490321334904	0.44635446631073855	0.4215007221119206	0.5001252417150559	0.46831612913348775	0.17459940553513315	0.1219185012889318	0.15544006790137913	0.7500533969010273	0.3609490870675599	0.03623936143307749	0.4007894522943306	0.4163642087901858	0.42462685238819836	0.4152884642579713	0.44040910225164903	0.015934924439765977	0.5526419027363235	0.015934924439765977	0.23333726308604832	0.41765639824160344	0.0	0.2987214684404761
G2-29	0.5113850913891135	0.44181110590821093	0.5482348238130786	0.6526993860455335	0.4576636851643224	0.4309230117796253	0.4074798388824224	0.48221599707852114	0.4517430082843123	0.34922699076044095	0.32799178892536995	0.16642658344930997	0.7186490731246877	0.3510531090672457	0.32521816335689596	0.38808291459981287	0.4027891887526285	0.4105581248376961	0.40177905185673907	0.42544777747714574	0.30997764390931865	0.5330848793603004	0.30997764390931865	0.23523977579403402	0.4040029787509082	0.2987214684404761	0.0
