	G1-111	G1-112	G1-180	G1-182	G1-183	G1-184	G1-185	G1-186	G2-1103	G2-198	G2-21	G2-210	G2-211	G2-212	G2-22	G2-225	G2-226	G2-227	G2-228	G2-229	G2-23	G2-230	G2-24	G2-26	G2-27	G2-28	G2-29
G2-21	0.18180235758622143	0.19519738006378357	0.048547013324380536	0.050150306478437656	0.17063551991137002	0.2610276628644494	0.1421919953832477	0.1949384693074006	0.1814100609577314	0.05143400486820289	0.0	0.0497573493404454	0.05851608942631067	0.0526342905264722	0.03306089823843279	0.13017906890361522	0.1678861379548572	0.13622481166137265	0.1555452544515017	0.1873079753251021	0.02120348066793418	0.13946712218270077	0.07023828878426518	0.09296377170695615	0.03310843531818538	0.050662208913879694	0.05145620240866208
G2-210	0.19038734519719977	0.204018753019621	0.008279166991381638	0.009205110451865355	0.19711568872953303	0.2682535603628255	0.1765117925868566	0.21310558034117497	0.18805058457042578	0.0022416680219964403	0.0497573493404454	0.0	0.017723815689538944	0.009427448484455826	0.08043609972325169	0.17345681698393234	0.21615411468967252	0.157898650591036	0.1628345005823067	0.21381749960919744	0.06857868215275308	0.14037393001166745	0.11761349026908406	0.14012099414823298	0.01848598609830249	0.0017464678948410583	0.003991246629828152
G2-211	0.18261159043770758	0.19633567032360766	0.016500753841949163	0.017076939550406473	0.18943260603351983	0.26057047766681235	0.17191214628937423	0.2054092102825444	0.17928790628365027	0.01931146403229628	0.05851608942631067	0.017723815689538944	0.0	0.010439857543383554	0.09071653139625452	0.1657824263131768	0.20881282946137342	0.15022529462382644	0.1594817892789773	0.20627369670231177	0.07887343642866053	0.1364908452387423	0.12792256608719316	0.14559142404054964	0.028908438942711844	0.017040168346512015	0.014614392962978564
G2-212	0.1834894997416546	0.19748073336247904	0.008655370902729763	0.009759082913472264	0.19042850603008	0.2617155407056837	0.17228711460221338	0.20650415483888698	0.180045817739886	0.011151394347250553	0.0526342905264722	0.009427448484455826	0.010439857543383554	0.0	0.08483473294370038	0.16696689968311734	0.20961318155797012	0.15142305536277417	0.15995620739294733	0.20732758230838244	0.07299163761827893	0.13694173360390796	0.12204076763463911	0.14202693726258248	0.022957172376536446	0.010684505272866929	0.009511257355512974
G2-22	0.18851316551565533	0.1958227661105286	0.08036811191914368	0.08200889205873368	0.16950732198568222	0.2599299979899913	0.14744860944116736	0.19389447915455413	0.18093164732321784	0.08031932032080383	0.03306089823843279	0.08043609972325169	0.09071653139625452	0.08483473294370038	0.0	0.12920235812673936	0.15000625760654565	0.13624930421082754	0.16632671227810095	0.18635702578174054	0.011857417570498607	0.1581620141994783	0.037494723130713205	0.06233664552970808	0.06273600369544907	0.08089565651848782	0.08307933649683291
G2-225	0.09691045992379364	0.10000106069221795	0.16869212899699174	0.17050965508419258	0.07345074674481533	0.1905139464597003	0.13165650779800306	0.1444517051451906	0.15179632856185704	0.17519287085184157	0.13017906890361522	0.17345681698393234	0.1657824263131768	0.16696689968311734	0.12920235812673936	0.0	0.09976428763425686	0.041099912600732924	0.12854269658746623	0.07062633134236858	0.1303422696487451	0.1358635489746306	0.13918406217791854	0.1562224167446303	0.15673927947002292	0.17409890439774764	0.1719480368874071
G2-226	0.11875930462255531	0.15616375847817926	0.21035766026191086	0.21217518634911167	0.11790482534678422	0.15338921269146844	0.12906775737694853	0.15191363219391804	0.15965735613523097	0.2178440459199581	0.1678861379548572	0.21615411468967252	0.20881282946137342	0.20961318155797012	0.15000625760654565	0.09976428763425686	0.0	0.10498459355954469	0.09082593482978805	0.14939793515379657	0.15114616912855142	0.14594263263324997	0.1461727291214375	0.14875310025482574	0.19932023723274528	0.21719394084762045	0.21502583779016635
G2-227	0.06829353731480362	0.08917014248464615	0.1540813029453504	0.15589882903255123	0.06365630650709554	0.17486528934616313	0.12455582479850458	0.12587327207796975	0.13030188722599845	0.15978002989279402	0.13622481166137265	0.157898650591036	0.15022529462382644	0.15142305536277417	0.13624930421082754	0.041099912600732924	0.10498459355954469	0.0	0.08976770376671606	0.08971366342905801	0.13644097632932717	0.11547705309303558	0.16747785875500748	0.18501467459219392	0.14153844086180123	0.15854073800485122	0.1563898704945107
G2-228	0.08143541629556045	0.1216193472071509	0.16006621112164116	0.1606878843433804	0.11858760289462117	0.13985063559004696	0.11116041678135545	0.1311879986254996	0.13108029894302783	0.16460672878352628	0.1555452544515017	0.1628345005823067	0.1594817892789773	0.15995620739294733	0.16632671227810095	0.12854269658746623	0.09082593482978805	0.08976770376671606	0.0	0.1731069979032749	0.15975427665159075	0.09010452468315788	0.19750427939501938	0.21484100718441998	0.15977800764913114	0.16348221804341753	0.16133135053307696
G2-229	0.13151505675488026	0.11156637200860887	0.20856609684328992	0.2103836229304907	0.09508171638388492	0.20609968788868438	0.16640487815665583	0.16051847165968586	0.17945688139312677	0.2155978253746737	0.1873079753251021	0.21381749960919744	0.20627369670231177	0.20732758230838244	0.18635702578174054	0.07062633134236858	0.14939793515379657	0.08971366342905801	0.1731069979032749	0.0	0.18749693730374628	0.17751954396084368	0.18832648502137886	0.20192201851638064	0.19709996209528796	0.2146548080885593	0.212486705031105
