	G1-111	G1-112	G1-180	G1-182	G1-183	G1-184	G1-185	G1-186	G2-1103	G2-198	G2-21	G2-210	G2-211	G2-212	G2-22	G2-225	G2-226	G2-227	G2-228	G2-229	G2-23	G2-230	G2-24	G2-26	G2-27	G2-28	G2-29
G2-227	0.4083067092651757	0.3961661341853035	0.8568690095846645	0.8753993610223643	0.334185303514377	0.5335463258785943	0.5463258785942492	0.45431309904153355	0.9712460063897763	0.7258785942492013	0.7482428115015974	0.7175718849840256	0.721405750798722	0.7194888178913738	0.7514376996805112	0.2	0.46773162939297125	0.0	0.33993610223642173	0.3137380191693291	0.7507987220447284	0.4984025559105431	0.7495207667731629	0.8268370607028754	0.6159744408945687	0.7169329073482428	0.7201277955271566
G2-228	0.36741214057507987	0.41214057507987223	0.8792332268370607	0.8977635782747604	0.5028753993610223	0.4402555910543131	0.5118210862619809	0.43003194888178914	0.9738019169329073	0.7578274760383387	0.8773162939297124	0.7539936102236422	0.7571884984025559	0.7552715654952077	0.8779552715654952	0.48881789137380194	0.5194888178913738	0.33993610223642173	0.0	0.5686900958466453	0.8773162939297124	0.34952076677316296	0.8773162939297124	0.9348242811501597	0.7476038338658147	0.7533546325878594	0.7565495207667732
G2-229	0.4779552715654952	0.4095846645367412	0.9252396166134186	0.9437699680511182	0.3405750798722045	0.6562300319488817	0.5239616613418531	0.5047923322683706	0.9725239616613418	0.8913738019169329	0.792332268370607	0.8869009584664537	0.8900958466453675	0.8881789137380192	0.7942492012779553	0.2453674121405751	0.5047923322683706	0.3137380191693291	0.5686900958466453	0.0	0.7936102236421725	0.5610223642172524	0.7929712460063898	0.802555910543131	0.771884984025559	0.886261980830671	0.8894568690095846
G2-23	0.9571884984025559	0.9456869009584664	0.4306709265175719	0.4370607028753994	0.8396166134185303	0.9763578274760384	0.7859424920127795	0.8753993610223643	0.9738019169329073	0.4370607028753994	0.13035143769968052	0.4338658146964856	0.49009584664536743	0.4523961661341853	0.07795527156549521	0.6562300319488817	0.5463258785942492	0.7507987220447284	0.8773162939297124	0.7936102236421725	0.0	0.8907348242811501	0.3246006389776358	0.5182108626198083	0.38722044728434507	0.46325878594249204	0.4913738019169329
G2-230	0.33993610223642173	0.4485623003194888	0.8964856230031949	0.9150159744408946	0.42236421725239615	0.6044728434504792	0.2926517571884984	0.5361022364217253	0.9731629392971246	0.8357827476038339	0.8894568690095846	0.8313099041533546	0.8338658146964856	0.8319488817891374	0.8907348242811501	0.5527156549520766	0.597444089456869	0.4984025559105431	0.34952076677316296	0.5610223642172524	0.8907348242811501	0.0	0.8900958466453675	0.9284345047923322	0.8083067092651757	0.8306709265175719	0.8338658146964856
G2-24	0.9565495207667731	0.9450479233226837	0.7546325878594249	0.7610223642172524	0.8389776357827476	0.9757188498402556	0.7853035143769969	0.8753993610223643	0.9725239616613418	0.7616613418530351	0.4536741214057508	0.7571884984025559	0.7610223642172524	0.7591054313099042	0.24792332268370607	0.6562300319488817	0.5463258785942492	0.7495207667731629	0.8773162939297124	0.7929712460063898	0.3246006389776358	0.8900958466453675	0.0	0.19361022364217254	0.6421725239616614	0.7565495207667732	0.759744408945687
G2-26	0.9552715654952076	0.9444089456869009	0.9469648562300319	0.9488817891373802	0.8389776357827476	0.9750798722044729	0.7853035143769969	0.8747603833865815	0.9099041533546326	0.9552715654952076	0.6319488817891373	0.9437699680511182	0.9469648562300319	0.9514376996805112	0.4415335463258786	0.678594249201278	0.5463258785942492	0.8268370607028754	0.9348242811501597	0.802555910543131	0.5182108626198083	0.9284345047923322	0.19361022364217254	0.0	0.8345047923322684	0.9476038338658147	0.9265175718849841
G2-27	0.9099041533546326	0.9092651757188498	0.4964856230031949	0.5041533546325878	0.8517571884984025	0.9533546325878595	0.8517571884984025	0.8415335463258786	0.9706070287539936	0.12460063897763578	0.38466453674121404	0.11565495207667732	0.1450479233226837	0.12268370607028754	0.39680511182108624	0.7380191693290735	0.8300319488817891	0.6159744408945687	0.7476038338658147	0.771884984025559	0.38722044728434507	0.8083067092651757	0.6421725239616614	0.8345047923322684	0.0	0.12396166134185303	0.11884984025559106
G2-28	0.9246006389776358	0.9252396166134186	0.4594249201277955	0.4638977635782748	0.9661341853035144	0.9571884984025559	0.9661341853035144	0.9265175718849841	0.9693290734824281	0.07476038338658147	0.4575079872204473	0.06964856230031949	0.05175718849840256	0.061980830670926516	0.5111821086261981	0.8523961661341853	0.9444089456869009	0.7169329073482428	0.7533546325878594	0.886261980830671	0.46325878594249204	0.8306709265175719	0.7565495207667732	0.9476038338658147	0.12396166134185303	0.0	0.04792332268370607
G2-29	0.9271565495207668	0.9284345047923322	0.48753993610223645	0.4830670926517572	0.9693290734824281	0.9603833865814696	0.9693290734824281	0.9297124600638977	0.9469648562300319	0.08945686900958466	0.47220447284345046	0.07539936102236422	0.054313099041533544	0.07987220447284345	0.5143769968051118	0.855591054313099	0.9476038338658147	0.7201277955271566	0.7565495207667732	0.8894568690095846	0.4913738019169329	0.8338658146964856	0.759744408945687	0.9265175718849841	0.11884984025559106	0.04792332268370607	0.0
